"Story","Title","Result","Date","Stability","Duration (s)"
"Beli","I click button beli","SUCCESS","2022-11-10T23:59:04.5990557+07:00[Asia/Bangkok]","0.0","28.93"
"Login","Login with null email and null password","SUCCESS","2022-11-10T23:59:33.557654+07:00[Asia/Bangkok]","0.0","16.42"
"Login","Login with invalid email and null password","SUCCESS","2022-11-10T23:59:49.989832+07:00[Asia/Bangkok]","0.0","18.04"
"Login","Login with null email and invalid password","SUCCESS","2022-11-11T00:00:08.048829+07:00[Asia/Bangkok]","0.0","17.47"
"Login","Login with valid email and null password","SUCCESS","2022-11-11T00:00:25.5586954+07:00[Asia/Bangkok]","0.0","17.69"
"Login","Login with null email and valid password","SUCCESS","2022-11-11T00:00:43.2690098+07:00[Asia/Bangkok]","0.0","19.58"
"Login","Login with valid email and valid password","SUCCESS","2022-11-11T00:01:02.8630455+07:00[Asia/Bangkok]","0.0","28.61"
"Logout","Logout from product page","ERROR","2022-11-11T00:01:31.4835828+07:00[Asia/Bangkok]","0.0","45.19"
"Register","Register with null fullname null email null password","SUCCESS","2022-11-11T00:02:16.8738467+07:00[Asia/Bangkok]","0.0","20.17"
"Register","Register with valid fullname null email null password","SUCCESS","2022-11-11T00:02:37.0610394+07:00[Asia/Bangkok]","0.0","19.49"
"Register","Register with null fullname valid email null password","SUCCESS","2022-11-11T00:02:56.5674593+07:00[Asia/Bangkok]","0.0","21.18"
"Register","Register with null fullname null email valid password","SUCCESS","2022-11-11T00:03:17.7567865+07:00[Asia/Bangkok]","0.0","20.19"
"Register","Register with valid fullname valid email null password","SUCCESS","2022-11-11T00:03:37.9645188+07:00[Asia/Bangkok]","0.0","19.97"
"Register","Register with valid fullname null email valid password","SUCCESS","2022-11-11T00:03:57.9446038+07:00[Asia/Bangkok]","0.0","20.79"
"Register","Register with null fullname valid email valid password","SUCCESS","2022-11-11T00:04:18.7520621+07:00[Asia/Bangkok]","0.0","21.31"
